!
! DEFAULT NETWORK FOR UCLCHEM. BASED ON QUENARD ET AL. 2018 WITH LARGE COMS REMOVED
! DOES A GOOD JOB OF RECREATING MAJOR ICE ABUNDANCES BUT BEYOND THIS WE DO NOT VOUCH FOR IT
! ALL UCLCHEM USERS MUST UNDERSTAND THEIR OWN NETWORKS AND DECIDE WHICH RATES TO USE.
!
! H ABSTRACTION REACTIONS. RATES FROM GARROD 2008
!
#CH4,CRP,,#CH2,#H2,,,3.04E-14,0,0,,
#CH3,CRP,,#CH2,#H,,,3E-16,0,0,,
#NH3,CRP,,#NH,#H2,,,7.02E-15,0,0,,
#NH3,CRP,,#NH2,#H,,,1.716E-14,0,0,,
#H2O,CRP,,#OH,#H,,,1.26E-14,0,0,,
#HCO,CRP,,#CO,#H,,,5.473E-15,0,0,,
#H2CO,CRP,,#HCO,#H,,,1.73E-14,0,0,,
#H2CO,CRP,,#CO,H2,,,1.73E-14,0,0,,
#CH3OH,CRP,,#CH2OH,#H,,,6.5E-15,0,0,,
#CH3OH,CRP,,#H3CO,#H,,,6.5E-15,0,0,,
#CH3OH,CRP,,#CH3,#OH,,,1.95E-14,0,0,,
#H2S,CRP,,#HS,H,,,3E-16,0,0,,
#HCOOH,CRP,,#HCOO,H,,,3E-16,0,0,,
#HNO,CRP,,#NO,#H,,,3E-16,0,0,,
#HCS,CRP,,#CS,#H,,,3E-16,0,0,,
!
! MORE CRP REACTIONS WITH GRAIN
#HNCO,CRPHOT,,#NH,#CO,,,1.3E-17,0,1500,,,
#HOCN,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
#HCNO,CRPHOT,,#CH,#NO,,,1.3E-17,0,1500,,,
#HONC,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
#CNO,CRPHOT,,#CN,#O,,,1.3E-17,0,750,,,
#HNCO,PHOTON,,#NH,#CO,,,1.00E-09,0.00,1.7,,,
#HOCN,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#HCNO,PHOTON,,#CH,#NO,,,1.00E-09,0.00,1.7,,,
#HONC,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#CNO,PHOTON,,#CN,#O,,,1.00E-11,0.00,2.0,,,
!
!
! BASIC GRAIN NETWORK
! HYDROGENATION
!	CONSTANTS ARE BRANCHING RATIO, 0 (NO BETA REQUIRED), ENERGY BARRIER
!
!
#H,#H,CHEMDES,H2,,,,1,0,0,,,
#H,#C,DIFF,#CH,,,,1,0,0,,,
#H,#C,CHEMDES,CH,,,,1,0,0,,,
#H,#CH,DIFF,#CH2,,,,1,0,0,,,
#H,#CH,CHEMDES,CH2,,,,1,0,0,,,
#H,#CH2,DIFF,#CH3,,,,1,0,0,,,
#H,#CH2,CHEMDES,CH3,,,,1,0,0,,,
#H,#CH3,DIFF,#CH4,,,,1,0,0,,,
#H,#CH3,CHEMDES,CH4,,,,1,0,0,,,
#H,#O,DIFF,#OH,,,,1,0,0,,,
#H,#O,CHEMDES,OH,,,,1,0,0,,,
#H,#OH,DIFF,#H2O,,,,1,0,0,,,
#H,#OH,CHEMDES,H2O,,,,1,0,0,,,
#H,#N,DIFF,#NH,,,,1,0,0,,,
#H,#N,CHEMDES,NH,,,,1,0,0,,,
#H,#NH,DIFF,#NH2,,,,1,0,0,,,
#H,#NH,CHEMDES,NH2,,,,1,0,0,,,
#H,#NH2,DIFF,#NH3,,,,1,0,0,,,
#H,#NH2,CHEMDES,NH3,,,,1,0,0,,,
#H,#CO,DIFF,#HCO,,,,1,0,2500,,,
#H,#CO,CHEMDES,HCO,,,,1,0,2500,,,
#H,#HCO,DIFF,#H2CO,,,,0.5,0,0,,,
#H,#HCO,CHEMDES,H2CO,,,,0.5,0,0,,,
#H,#HCO,DIFF,#CO,#H2,,,0.5,0,0,,,
#H,#HCO,CHEMDES,CO,H2,,,0.5,0,0,,,
#H,#H2CO,DIFF,#CH2OH,,,,0.33,0,5400,,,
#H,#H2CO,CHEMDES,CH2OH,,,,0.33,0,5400,,,
#H,#H2CO,DIFF,#H3CO,,,,0.33,0,2200,,,
#H,#H2CO,CHEMDES,H3CO,,,,0.33,0,2200,,,
#H,#H2CO,DIFF,#HCO,#H2,,,0.33,0,1740,,,
#H,#H2CO,CHEMDES,HCO,H2,,,0.33,0,1740,,,
#H,#CH2OH,CHEMDES,CH3OH,,,,1,0,0,,,
#H,#CH2OH,DIFF,#CH3OH,,,,1,0,0,,,
#H,#H3CO,DIFF,#CH3OH,,,,1,0,0,,,
#H,#H3CO,CHEMDES,CH3OH,,,,1,0,0,,,
!
! MINISSALE 2016 REACTIONS
!
#N,#N,DIFF,#N2,,,,0,0,0,,,                    		! UNLIKELY ON DUST GRAINS (MINISSALE ET AL. 2016)
#N,#N,CHEMDES,N2,,,,0,0,0,,,                  		! UNLIKELY ON DUST GRAINS (MINISSALE ET AL. 2016)
#CO,#OH,DIFF,#CO2,,,,1,0,1000,,, !IOPPOLO 2013
#CO,#OH,CHEMDES,CO2,,,,1,0,1000,,,
#O,#O,DIFF,#O2,,,,1,0,0,,,
#O,#O,CHEMDES,O2,,,,1,0,0,,,
#H2CO,#O,DIFF,#CO2,H2,,,1,0,0,,,
#H2CO,#O,CHEMDES,CO2,H2,,,1,0,0,,,
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!%%%%%%%% HNCO NETWORK %%%%%%%%%
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
! FROM QUAN+ 2010
!
#H,#OCN,DIFF,#HNCO,,,,0.5,0,0,,,
#H,#OCN,CHEMDES,HNCO,,,,0.5,0,0,,,
#H,#OCN,DIFF,#HOCN,,,,0.5,0,0,,,
#H,#OCN,CHEMDES,HOCN,,,,0.5,0,0,,,
#C,#HOCN,DIFF,#CO,#HCN,,,1,0,0,,,
#C,#HOCN,CHEMDES,CO,HCN,,,1,0,0,,,
#H,#CNO,DIFF,#HCNO,,,,0.5,0,0,,,
#H,#CNO,CHEMDES,HCNO,,,,0.5,0,0,,,
#C,#HCNO,DIFF,#C2H,#NO,,,1,0,0,,,
#C,#HCNO,CHEMDES,C2H,NO,,,1,0,0,,,
#H,#CNO,DIFF,#HONC,,,,0.5,0,0,,,
#H,#CNO,CHEMDES,HONC,,,,0.5,0,0,,,
#O,#HONC,DIFF,#O2H,#CN,,,1,0,0,,,
#O,#HONC,CHEMDES,O2H,CN,,,1,0,0,,,
#C,#OCN,DIFF,#CN,#CO,,,1,0,0,,,
#C,#OCN,CHEMDES,CN,CO,,,1,0,0,,,
#O,#OCN,DIFF,#CO,#NO,,,1,0,0,,,
#O,#OCN,CHEMDES,CO,NO,,,1,0,0,,,
#C,#CNO,DIFF,#CN,#CO,,,1,0,0,,,
#C,#CNO,CHEMDES,CN,CO,,,1,0,0,,,
#C,#NO,DIFF,#CNO,,,,1,0,0,,,
#C,#NO,CHEMDES,CNO,,,,1,0,0,,,
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
! FROM FEDOSEEV+ 2015, BELLOCHE+2017
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
#NH,#CO,DIFF,#HNCO,,,,1,0,4200,,,
#NH,#CO,CHEMDES,HNCO,,,,1,0,4200,,,
HOCN,H,,HNCO,H,,,1.0E-10,0,2000,,,
HONC,H,,HCNO,H,,,1.0E-10,0,2000,,,
#H3CO,#HNCO,DIFF,#CH3OH,#OCN,,,0,0,1200,,,
#CH3,#HNCO,DIFF,#CH,#OCN,,,0,0,1200,,,
#NH,#HNCO,DIFF,#NH2,#OCN,,,0,0,1200,,,
#NH2,#HNCO,DIFF,#NH3,#OCN,,,0,0,1200,,,
#OH,#HNCO,DIFF,#H2O,#OCN,,,0,0,1290,,,
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!% KIDA NETWORK
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
! HYDROGENATION OF HNCO (SONG ET AL. 2016)
!
#H,#HOCN,DIFF,#H2O,#CN,,,0.5,0,2300,,,              ! E_A FROM GARROD
#H,#HOCN,DIFF,#H2OCN,,,,0.5,0,1962,,,
#H,#HOCN,CHEMDES,H2O,CN,,,0.5,0,2300,,,
#H,#HOCN,CHEMDES,H2OCN+,,,,0.5,0,1962,,,
#H,#HCNO,DIFF,#CH2,#NO,,,0.5,0,2300,,,       		! E_A FROM GARROD
#H,#HCNO,DIFF,#H2CNO,,,,0.5,0,1962,,,
#H,#HCNO,CHEMDES,CH2,NO,,,0.5,0,2300,,,
#H,#HCNO,CHEMDES,H2CNO+,,,,0.5,0,1962,,,
#H,#HNCO,DIFF,#NH2,#CO,,,0.5,0,2300,,,      		! E_A FROM GARROD
#H,#HNCO,DIFF,#H2NCO,,,,0.5,0,1962,,,
#H,#HNCO,CHEMDES,NH2,CO,,,0.5,0,2300,,,
#H,#HNCO,CHEMDES,H2NCO+,,,,0.5,0,1962,,,
#H,#H2NCO,DIFF,#NH2CHO,,,,0.0,0,0,,,
#H,#H2NCO,CHEMDES,NH2CHO,,,,0.0,0,0,,,
!
! RADICAL REACTION (FEDOSEEV ET AL. 2016)
!
#NH2,#HCO,DIFF,#NH2CHO,,,,0.5,0,0,,,
#NH2,#HCO,CHEMDES,NH2CHO,,,,0.5,0,0,,,
#NH2,#HCO,DIFF,#NH3,#CO,,,0.5,0,0,,,
#NH2,#HCO,CHEMDES,NH3,CO,,,0.5,0,0,,,
#NH2,#H2CO,DIFF,#NH2CHO,H,,,0.5,0,0,,,
#NH2,#H2CO,CHEMDES,NH2CHO,H,,,0.5,0,0,,,
#NH2,#H2CO,DIFF,#NH3,#HCO,,,0.5,0,0,,,
#NH2,#H2CO,CHEMDES,NH3,HCO,,,0.5,0,0,,,
H,#H2NCO,DIFF,#HNCO,H2,,,1.0,0,0,,,! NOBLE ET AL. 2015
H,#H2NCO,CHEMDES,HNCO,H2,,,1.0,0,0,,,! NOBLE ET AL. 2015
NH2,H2CO,,NH2CHO,H,,,77.9E-16,-2.56,25,,,! SKOUTERIS ET AL. 2017
!
! (GARROD 2006)
!
#HCO,#H3CO,DIFF,#HCOOCH3,,,,1.0,0,0,,,
#HCO,#H3CO,CHEMDES,HCOOCH3,,,,1.0,0,0,,,
#HCO,#CH2OH,DIFF,#HCOOCH3,,,,1.0,0,0,,,
#HCO,#CH2OH,CHEMDES,HCOOCH3,,,,1.0,0,0,,,
#CH3,#H3CO,DIFF,#CH3OCH3,,,,1.0,0,0,,,
#CH3,#H3CO,CHEMDES,CH3OCH3,,,,1.0,0,0,,,
#HCO,#OH,DIFF,#HCOOH,,,,1.0,0,0,,,
#HCO,#OH,CHEMDES,HCOOH,,,,1.0,0,0,,,
#CH3,#C2H3,DIFF,#CH3CHCH2,,,,1.0,0,0,,,
#CH3,#C2H3,CHEMDES,CH3CHCH2,,,,1.0,0,0,,,
#CH3,#HCO,DIFF,#CH3CHO,,,,1.0,0,0,,,
#CH3,#HCO,CHEMDES,CH3CHO,,,,1.0,0,0,,,
!
! FREEZE OUTS
!
H,FREEZE,,#H,,,,1,0,0,,,
H+,FREEZE,,#H,,,,1,0,0,,,
E-,FREEZE,,,,,,1,1,0,,,
HC3N,FREEZE,,#HC3N,,,,1,0,0,,,
C2H3,FREEZE,,#C2H3,,,,1,0,0,,,
CH2CO,FREEZE,,#CH2CO,,,,1,0,0,,,
C3H5+,FREEZE,,#CH3CCH,H,,,1,1,0,,,
CH3CCH,FREEZE,,#CH3CCH,,,,1,0,0,,,
C2H5OH,FREEZE,,#C2H5OH,,,,1,0,0,,,
C2H5OH2+,FREEZE,,#C2H5OH,H,,,1,1,0,,,
CH3OH2+,FREEZE,,#CH3OH,H,,,1,1,0,,,
CH3OH,FREEZE,,#CH3OH,,,,1,0,0,,,
CH3CNH,FREEZE,,#CH3CNH,,,,1,0,0,,,
CH3CNH+,FREEZE,,#CH3CNH,,,,1,1,0,,,
HNCO,FREEZE,,#HNCO,,,,1,0,0,,,
HNCO+,FREEZE,,#HNCO,,,,1,1,0,,,
OCN,FREEZE,,#HNCO,,,,1,0,0,,,
C2N,FREEZE,,#CH3CNH,,,,1,0,0,,,
C2N+,FREEZE,,#CH3CNH,,,,1,1,0,,,
C3N,FREEZE,,#HC3N,,,,1,0,0,,,
C2NH+,FREEZE,,#CH3CNH,,,,1,1,0,,,
C2N2+,FREEZE,,#NCCN,,,,1,0,0,,,
NCCN,FREEZE,,#NCCN,,,,1,0,0,,,
C4N+,FREEZE,,#C4N,,,,1,0,0,,,
C4N,FREEZE,,#C4N,,,,1,0,0,,,
HOC+,FREEZE,,#H2CO,,,,1.0,1,0,,,
HC3N,FREEZE,,#C2H5CN,,,,1,0,0,,,
C2H5CN,FREEZE,,#C2H5CN,,,,1,0,0,,,
SI,FREEZE,,#SIH4,,,,0.0,0,0,,,
SIO,FREEZE,,#H2SIO,,,,1,0,0,,,
SIH,FREEZE,,#SIH4,,,,1,0,0,,,
SI+,FREEZE,,#SIH4,,,,1,1,0,,,
SIH+,FREEZE,,#SIH4,,,,1,1,0,,,
SIH2,FREEZE,,#SIH4,,,,1,0,0,,,
SIH2+,FREEZE,,#SIH4,,,,1,1,0,,,
SIH3,FREEZE,,#SIH4,,,,1,1,0,,,
SIH3+,FREEZE,,#SIH4,,,,1,1,0,,,
SIH4,FREEZE,,#SIH4,,,,1,0,0,,,
SIH4+,FREEZE,,#SIH4,,,,1,1,0,,,
SIC,FREEZE,,#SIC,,,,1,0,0,,,
SIC2,FREEZE,,#SIC2,,,,1,0,0,,,
SIC+,FREEZE,,#SIC,,,,1,1,0,,,
SIC2+,FREEZE,,#SIC2,,,,1,1,0,,,
SIC3,FREEZE,,#SIC3,,,,1,0,0,,,
SIC3+,FREEZE,,#SIC3,,,,1,1,0,,,
SIO+,FREEZE,,#H2SIO,,,,1,1,0,,,
SIOH+,FREEZE,,#H2SIO,,,,1,1,0,,,
SIS,FREEZE,,#SIS,,,,1,0,0,,,
SIS+,FREEZE,,#SIS,,,,1,1,0,,,
HSIS+,FREEZE,,#SIS,H,,,1,1,0,,,
H2SIO,FREEZE,,#H2SIO,,,,1,0,0,,,
SIH5+,FREEZE,,#SIH4,H,,,1,1,0,,,
CL,FREEZE,,#HCL,,,,1,0,0,,,
HCL,FREEZE,,#HCL,,,,1,0,0,,,
CL+,FREEZE,,#HCL,,,,1,1,0,,,
HCL+,FREEZE,,#HCL,,,,1,1,0,,,
H2CL+,FREEZE,,#HCL,H,,,1,1,0,,,
